time_id,nome_popular,sigla,escudo
5,Chapecoense,CHA,https://cdn.api-futebol.com.br/escudos/638d348712019.svg
33,Am�rica-MG,AMG,https://cdn.api-futebol.com.br/escudos/638d34966e9c6.svg
43,Juventude,JUV,https://cdn.api-futebol.com.br/escudos/638d349b308c6.svg
204,Cuiab�,CUI,https://cdn.api-futebol.com.br/escudos/638d34ebcdafa.svg
95,CSA,CSA,https://cdn.api-futebol.com.br/escudos/638d34b771b66.svg
120,Sampaio Corr�a,SAM,https://cdn.api-futebol.com.br/escudos/638d34c43b39a.svg
61,Ponte Preta,PON,https://cdn.api-futebol.com.br/escudos/638d34a46fbd4.svg
117,Oper�rio-PR,OPE,https://cdn.api-futebol.com.br/escudos/638d34c28e3da.svg
6,Ava�,AVA,https://cdn.api-futebol.com.br/escudos/638d3487aa471.svg
90,CRB,CRB,https://cdn.api-futebol.com.br/escudos/638d34b537c81.svg
37,Cruzeiro,CRU,https://cdn.api-futebol.com.br/escudos/638d34984830b.svg
48,Brasil de Pelotas,BRA,https://cdn.api-futebol.com.br/escudos/638d349dcc476.svg
54,Guarani,GUA,https://cdn.api-futebol.com.br/escudos/638d34a0c3635.svg
102,Vit�ria,VIT,https://cdn.api-futebol.com.br/escudos/638d34bb4bf99.svg
205,Confian�a,CON,https://cdn.api-futebol.com.br/escudos/638d34ec71a62.svg
74,N�utico,NAU,https://cdn.api-futebol.com.br/escudos/638d34abdc099.svg
9,Figueirense,FIG,https://cdn.api-futebol.com.br/escudos/638d348943c6c.svg
76,Paran�,PAR,https://cdn.api-futebol.com.br/escudos/638d34acf14b4.svg
66,Botafogo-SP,BOT,https://cdn.api-futebol.com.br/escudos/638d34a7e5f9a.svg
52,Oeste,OES,https://cdn.api-futebol.com.br/escudos/638d349fed9c0.svg
22,Botafogo,BOT,https://cdn.api-futebol.com.br/escudos/638d349052558.svg
45,Gr�mio,GRE,https://cdn.api-futebol.com.br/escudos/638d349c32bf1.svg
18,Flamengo,FLA,https://cdn.api-futebol.com.br/escudos/638d348e3f815.svg
56,Palmeiras,PAL,https://cdn.api-futebol.com.br/escudos/638d34a1cf247.svg
64,Bragantino,BGT,https://cdn.api-futebol.com.br/escudos/638d34a5db2ec.svg
26,Fluminense,FLU,https://cdn.api-futebol.com.br/escudos/638d3492a6e0b.svg
57,S�o Paulo,SAO,https://cdn.api-futebol.com.br/escudos/638d34a23c311.svg
44,Internacional,INT,https://cdn.api-futebol.com.br/escudos/638d349b92103.svg
185,Athletico-PR,CAP,https://cdn.api-futebol.com.br/escudos/638d34e1b8948.svg
30,Atl�tico-MG,CAM,https://cdn.api-futebol.com.br/escudos/638d3494f3380.svg
131,Fortaleza,FOR,https://cdn.api-futebol.com.br/escudos/638d34c76d067.svg
37,Cruzeiro,CRU,https://cdn.api-futebol.com.br/escudos/638d34984830b.svg
204,Cuiab�,CUI,https://cdn.api-futebol.com.br/escudos/638d34ebcdafa.svg
63,Santos,SAN,https://cdn.api-futebol.com.br/escudos/638d34a5749d6.svg
68,Bahia,BAH,https://cdn.api-futebol.com.br/escudos/638d34a8b6bd8.svg
65,Corinthians,COR,https://cdn.api-futebol.com.br/escudos/638d34a68419f.svg
115,Goi�s,GOI,https://cdn.api-futebol.com.br/escudos/638d34c1c1d9f.svg
23,Vasco,VAS,https://cdn.api-futebol.com.br/escudos/638d3490f1e73.svg
33,Am�rica-MG,AMG,https://cdn.api-futebol.com.br/escudos/638d34966e9c6.svg
84,Coritiba,CFC,https://cdn.api-futebol.com.br/escudos/638d34b1296c2.svg
